drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Polivy,(polatuzumab vedotin-piiq)  Injection,"June 10, 2019","Genentech, Inc.",Diffuse Large B-Cell Lymphoma
Ortikos,(budesonide)  Extended-Release Capsules,"June 13, 2019",Ferring Pharmaceuticals Inc.,"Crohn's Disease, Active, Crohn's Disease, Maintenance"
Dayvigo,(lemborexant)  Tablets,"December 20, 2019","Eisai Co., Ltd.",Insomnia
Caplyta,(lumateperone)  Capsules,"December 20, 2019","Intra-Cellular Therapies, Inc.","Schizophrenia, Bipolar Disorder"
Ubrelvy,(ubrogepant)  Tablets,"December 23, 2019",Allergan plc,Migraine
Enhertu,(fam-trastuzumab deruxtecan-nxki)  Injection,"December 20, 2019","AstraZeneca and Daiichi Sankyo Company, Limited","Breast Cancer, Gastric Cancer, Non-Small Cell Lung Cancer, Solid Tumors"
Conjupri,(levamlodipine maleate)  Tablets,"December 19, 2019",CSPC Pharmaceutical Group Limited,High Blood Pressure
Ervebo,"(ebola zaire vaccine, live)  Injection","December 19, 2019",Merck,Ebola Zaire Disease Prophylaxis
Arazlo,(tazarotene)  Lotion,"December 18, 2019",Bausch Health Companies Inc.,Acne
Padcev,(enfortumab vedotin-ejfv)  Lyophilized Powder for Injection,"December 18, 2019",Astellas,Urothelial Carcinoma
Nouress,(cysteine hydrochloride)  Injection,"December 13, 2019",Avadel Pharmaceuticals plc,Total Parenteral Nutrition
EluRyng,(ethinyl estradiol and etonogestrel)  Vaginal Ring,"December 11, 2019","Amneal Pharmaceuticals, Inc.",Birth Control
Vyondys 53,(golodirsen)  Injection,"December 12, 2019","Sarepta Therapeutics, Inc.",Duchenne Muscular Dystrophy
Avsola,(infliximab-axxq)  Injection,"December 6, 2019",Amgen Inc.,"Crohn's Disease, Maintenance, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis, Plaque Psoriasis"
RediTrex,(methotrexate)  /pro/reditrex-injection.html,"November 27, 2019",Cumberland Pharmaceuticals Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriasis"
Oxbryta,(voxelotor)  Tablets,"November 25, 2019","Global Blood Therapeutics, Inc.",Sickle Cell Disease
Exservan,(riluzole)  Oral Film,"November 22, 2019","Aquestive Therapeutics, Inc.",Amyotrophic Lateral Sclerosis
Xcopri,(cenobamate)  Tablets,"November 21, 2019","SK Life Science, Inc.",Seizures
Givlaari,(givosiran)  Injection,"November 20, 2019","Alnylam Pharmaceuticals, Inc.",Acute Hepatic Porphyria
Abrilada,(adalimumab-afzb)  Injection,"November 15, 2019",Pfizer Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Adakveo,(crizanlizumab-tmca)  Injection,"November 15, 2019",Novartis,"Sickle Cell Disease, Sickle Cell Anemia"
Fetroja,(cefiderocol)  Injection,"November 14, 2019","Shionogi & Co., Ltd.",Complicated Urinary Tract Infections; Hospital-acquired Bacterial Pneumonia; Ventilator-associated Bacterial Pneumonia
Brukinsa,(zanubrutinib)  Capsules,"November 14, 2019","BeiGene, Ltd.","Mantle Cell Lymphoma, Waldenström Macroglobulinemia, Chronic Lymphocytic Leukemia, Marginal Zone Lymphoma, Follicular Lymphoma"
Reblozyl,(luspatercept-aamt)  for Injection,"November 8, 2019",Bristol Myers Squibb,Anemia in Beta-Thalassemia; Anemia in Lower-Risk Myelodysplastic Syndromes
Ziextenzo,(pegfilgrastim-bmez)  Injection,"November 4, 2019",Sandoz,Neutropenia Associated with Chemotherapy
Talicia,"(amoxicillin, omeprazole and rifabutin)  Delayed-Release Capsules","November 4, 2019",RedHill Biopharma Ltd.,Helicobacter Pylori Infection
Vumerity,(diroximel fumarate)  Delayed-Release Capsules,"October 29, 2019",Alkermes plc and Biogen,Multiple Sclerosis
Biorphen,(phenylephrine hydrochloride)  Injection,"October 21, 2019","Eton Pharmaceuticals, Inc.",Hypotension
Trikafta,(elexacaftor/tezacaftor/ivacaftor and ivacaftor)  Tablets and Oral Granules,"October 21, 2019",Vertex Pharmaceuticals Incorporated,Cystic Fibrosis
Amzeeq,(minocycline)  Topical Foam,"October 18, 2019",Foamix Pharmaceuticals,Acne
Secuado,(asenapine)  Transdermal System,"October 11, 2019","Noven Pharmaceuticals, Inc.",Schizophrenia
Reyvow,(lasmiditan)  Tablets,"October 11, 2019",Eli Lilly and Company,Migraine
Quzyttir,(cetirizine hydrochloride)  Injection,"October 4, 2019",TerSera Therapeutics LLC,Urticaria
Beovu,(brolucizumab-dbll)  Injection,"October 7, 2019",Novartis,"Macular Degeneration, Diabetic Macular Edema"
Scenesse,(afamelanotide)  Implant,"October 8, 2019",Clinuvel Pharmaceuticals Ltd.,Prevention of Phototoxicity in Erythropoietic Protoporphyria
Bonsity,(teriparatide)  Injection  - formerly PF708,"October 4, 2019",Pfenex Inc.,Osteoporosis
Aklief,(trifarotene)  Topical Cream,"October 4, 2019",Galderma,Acne
Jynneos,(smallpox and monkeypox vaccine)  Injection,"September 24, 2019",Bavarian Nordic,"Monkeypox, Smallpox Prophylaxis"
Rybelsus,(semaglutide)  Tablets,"September 20, 2019",Novo Nordisk,"Diabetes, Type 2"
Ibsrela,(tenapanor)  Tablets,"September 12, 2019","Ardelyx, Inc",Irritable Bowel Syndrome
Gvoke,(glucagon)  Injection,"September 10, 2019","Xeris Pharmaceuticals, Inc.",Hypoglycemia
Nourianz,(istradefylline)  Tablets,"August 27, 2019","Kyowa Kirin, Inc.",Parkinson's Disease
Xenleta,(lefamulin)  Tablets and Injection,"August 19, 2019",Nabriva Therapeutics plc,Pneumonia
Rinvoq,(upadacitinib)  Extended-Release Tablets,"August 16, 2019",AbbVie Inc.,"Rheumatoid Arthritis, Psoriatic Arthritis, Atopic Dermatitis, Ulcerative Colitis, Crohn's Disease, Ankylosing Spondylitis, Non-Radiographic Axial Spondyloarthritis"
Inrebic,(fedratinib)  Capsules,"August 16, 2019",Celgene Corporation,Myelofibrosis
Wakix,(pitolisant)  Tablets,"August 14, 2019","Harmony Biosciences, LLC",Narcolepsy
Rozlytrek,(entrectinib)  Capsules and Oral Pellets,"August 15, 2019","Genentech, Inc.","Solid Tumors, Non-Small Cell Lung Cancer"
,(pretomanid)  Tablets,"August 14, 2019",TB Alliance,"Tuberculosis, Resistant"
Turalio,(pexidartinib)  Capsules,"August 2, 2019","Daiichi Sankyo Company, Limited",Tenosynovial Giant Cell Tumor
Nubeqa,(darolutamide)  Tablets,"July 30, 2019",Bayer,Prostate Cancer
Accrufer,(ferric maltol)  Capsules  - formerly Feraccru,"July 25, 2019",Shield Therapeutics plc,Iron Deficiency
Baqsimi,(glucagon)  Nasal Powder,"July 24, 2019",Eli Lilly and Company,Hypoglycemia
Hadlima,(adalimumab-bwwd)  Injection,"July 23, 2019","Samsung Bioepis Co., Ltd.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Ruxience,(rituximab-pvvr)  Injection,"July 23, 2019",Pfizer Inc.,"Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia, Granulomatosis with Polyangiitis, Microscopic Polyangiitis"
Myxredlin,(insulin human in sodium chloride)  Injection,"June 20, 2019",Baxter International Inc.,"Diabetes, Type 1, Diabetes, Type 2"
Recarbrio,"(imipenem, cilastatin, and relebactam)  for Injection","July 16, 2019",Merck,"Urinary Tract Infection, Intraabdominal Infection, Nosocomial Pneumonia"
AirDuo Digihaler,(fluticasone propionate and salmeterol)  Inhalation Powder,"July 15, 2019",Asthma
Katerzia,(amlodipine benzoate)  Oral Suspension,"July 8, 2019","Silvergate Pharmaceuticals, Inc.","High Blood Pressure, Coronary Artery Disease"
Xembify,"(immune globulin subcutaneous, human - klhw)  Injection","July 3, 2019",Grifols,Primary Immunodeficiency Syndrome
Xpovio,(selinexor)  Tablets,"July 3, 2019",Karyopharm Therapeutics Inc.,Multiple Myeloma; Diffuse Large B-cell Lymphoma
Thiola EC,(tiopronin)  Delayed-Release Tablets,"June 28, 2019","Retrophin, Inc.",Cystinuria
Zirabev,(bevacizumab-bvzr)  Injection,"June 27, 2019",Pfizer Inc.,"Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Vyleesi,(bremelanotide)  Injection,"June 21, 2019","AMAG Pharmaceuticals, Inc.",Hypoactive Sexual Desire Disorder
Kanjinti,(trastuzumab-anns)  Injection,"June 13, 2019",Amgen Inc.,"Breast Cancer, Gastric Cancer"
Polivy,(polatuzumab vedotin-piiq)  Injection,"June 10, 2019","Genentech, Inc.",Diffuse Large B-Cell Lymphoma
Slynd,(drospirenone)  Tablets,"May 23, 2019",Exeltis,Birth Control
Zolgensma,(onasemnogene abeparvovec-xioi)  Suspension for Intravenous Infusion,"May 24, 2019",Novartis,Spinal Muscular Atrophy
Piqray,(alpelisib)  Tablets,"May 24, 2019",Novartis,Breast Cancer
Nayzilam,(midazolam)  Nasal Spray,"May 17, 2019",UCB,Seizure Clusters
Ruzurgi,(amifampridine)  Tablets,"May 6, 2019","Jacobus Pharmaceutical Company, Inc.",Lambert-Eaton Myasthenic Syndrome
Vyndaqel,(tafamidis meglumine)  Capsules,"May 3, 2019",Pfizer Inc.,Cardiomyopathy of Transthyretin-Mediated Amyloidosis
Qternmet XR,"(dapagliflozin, metformin hydrochloride and saxagliptin)  Extended-Release Tablets","May 2, 2019",AstraZeneca,"Diabetes, Type 2"
Dengvaxia,"(dengue tetravalent vaccine, live)  Injection","May 1, 2019","Sanofi Pasteur, Inc.",Prevention of Dengue Disease
Eticovo,(etanercept-ykro)  Injection,"April 25, 2019","Samsung Bioepis Co., Ltd."
Duobrii,(halobetasol propionate and tazarotene)  Lotion,"April 25, 2019",Ortho Dermatologics,Plaque Psoriasis
Skyrizi,(risankizumab-rzaa)  Injection,"April 23, 2019",AbbVie Inc.,"Plaque Psoriasis, Psoriatic Arthritis, Crohn's Disease"
Plenity,(cellulose and citric acid)  Capsules,"April 12, 2019",Gelesis,Weight Loss (Obesity/Overweight)
Balversa,(erdafitinib)  Tablets,"April 12, 2019","Janssen Pharmaceuticals, Inc.",Urothelial Carcinoma
Evenity,(romosozumab-aqqg)  Injection,"April 9, 2019",Amgen Inc.,Osteoporosis
Dovato,(dolutegravir and lamivudine)  Tablets,"April 8, 2019",ViiV Healthcare,HIV Infection
Avaclyr,(acyclovir)  Ophthalmic Ointment,"March 29, 2019",Fera Pharmaceuticals,Herpes Simplex Dendritic Keratitis
Asceniv,"(immune globulin intravenous, human – slra)  Injection","April 1, 2019","ADMA Biologics, Inc.",Primary Immunodeficiency Syndrome
Duaklir Pressair,(aclidinium bromide and formoterol fumarate)  Inhalation Powder,"March 29, 2019",Circassia Pharmaceuticals plc,COPD
Mavenclad,(cladribine)  Tablets,"March 29, 2019","EMD Serono, Inc.",Multiple Sclerosis
Jatenzo,(testosterone undecanoate)  Capsules,"March 27, 2019","Clarus Therapeutics, Inc.","Hypogonadism, Male"
Mayzent,(siponimod)  Tablets,"March 26, 2019",Novartis,Multiple Sclerosis
Sunosi,(solriamfetol)  Tablets,"March 20, 2019",Jazz Pharmaceuticals plc,"Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome"
Zulresso,(brexanolone)  Injection,"March 19, 2019",Sage Therapeutics,Postpartum Depression
Rocklatan,(netarsudil and latanoprost)  Ophthalmic Solution,"March 12, 2019","Aerie Pharmaceuticals, Inc.","Glaucoma, Open Angle, Intraocular Hypertension"
Trazimera,(trastuzumab-qyyp)  for Injection,"March 11, 2019",Pfizer Inc.,"Breast Cancer, Gastric Cancer"
Spravato,(esketamine)  Nasal Spray,"March 5, 2019","Janssen Pharmaceuticals, Inc.","Depression, Major Depressive Disorder with Acute Suicidal Ideation"
Adhansia XR,(methylphenidate hydrochloride)  Extended-Release Capsules,"February 27, 2019",Adlon Therapeutics L.P.,Attention-Deficit / Hyperactivity Disorder
Herceptin Hylecta,(trastuzumab and hyaluronidase-oysk)  for Subcutaneous Injection,"February 28, 2019","Genentech, Inc.",Breast Cancer
Gloperba,(colchicine)  Oral Solution,"January 30, 2019","Romeg Therapeutics, LLC",Gout
Esperoct,(antihemophilic factor (recombinant) glycopegylated-exei)  Injection,"February 19, 2019",Novo Nordisk,Hemophilia A
Egaten,(triclabendazole)  Tablets,"February 13, 2019",Novartis,Fascioliasis
Cablivi,(caplacizumab-yhdp)  Injection,"February 6, 2019",Ablynx NV,Acquired Thrombotic Thrombocytopenic Purpura
Jeuveau,(prabotulinumtoxinA-xvfs)  Injection,"February 1, 2019","Evolus, Inc.",Glabellar Lines
Wixela Inhub,(fluticasone propionate and salmeterol)  Inhalation Powder,"January 30, 2019",Mylan N.V.,"Asthma, COPD"
Tosymra,(sumatriptan)  Nasal Spray,"January 25, 2019","Dr. Reddy's Laboratories, Inc.",Migraine
Ontruzant,(trastuzumab-dttb)  for Injection,"January 18, 2019","Samsung Bioepis Co., Ltd.","Breast Cancer, Gastric Cancer"
Vaxelis,"(diphtheria and tetanus toxoids and acellular pertussis adsorbed, inactivated poliovirus, haemophilus b conjugate [meningococcal protein conjugate] and hepatitis B [recombinant] vaccine)  Suspension for Intramuscular Injection","December 21, 2018",Merck and Sanofi,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Hepatitis B Prevention, Haemophilus influenzae Prophylaxis"
ProAir Digihaler,(albuterol sulfate)  Inhalation Powder,"December 21, 2018",Teva Pharmaceutical Industries Ltd.,"Bronchospasm Prophylaxis, Asthma, COPD"
Inbrija,(levodopa)  Inhalation Powder,"December 21, 2018","Acorda Therapeutics, Inc.",Parkinson's Disease
Elzonris,(tagraxofusp-erzs)  Injection,"December 21, 2018","Stemline Therapeutics, Inc.",Blastic Plasmacytoid Dendritic Cell Neoplasm
Ultomiris,(ravulizumab-cwvz)  Injection,"December 21, 2018","Alexion Pharmaceuticals, Inc.","Paroxysmal Nocturnal Hemoglobinuria, Hemolytic Uremic Syndrome, Myasthenia Gravis, Neuromyelitis Optica Spectrum Disorder"
Asparlas,(calaspargase pegol-mknl)  Injection,"December 20, 2018",Servier Pharmaceuticals LLC,Acute Lymphoblastic Leukemia
Motegrity,(prucalopride)  Tablets,"December 14, 2018",Shire plc,Chronic Idiopathic Constipation
Herzuma,(trastuzumab-pkrb)  for Injection,"December 14, 2018","Celltrion, Inc. and Teva Pharmaceutical Industries Ltd.",Breast Cancer
Tolsura,(itraconazole)  Capsules,"December 11, 2018",Mayne Pharma,Blastomycosis; Histoplasmosis; Aspergillosis
Dextenza,(dexamethasone)  Ophthalmic Insert,"November 30, 2018","Ocular Therapeutix, Inc.","Postoperative Ocular Inflammation, Conjunctivitis, Allergic"
Firdapse,(amifampridine phosphate)  Tablets,"November 28, 2018","Catalyst Pharmaceuticals, Inc.",Lambert-Eaton Myasthenic Syndrome
Xospata,(gilteritinib)  Tablets,"November 28, 2018",Astellas Pharma Inc.,Acute Myeloid Leukemia
Truxima,(rituximab-abbs)  Injection,"November 28, 2018","Celltrion, Inc.",Non-Hodgkin's Lymphoma
Vitrakvi,(larotrectinib)  Capsules and Oral Solution,"November 26, 2018","Loxo Oncology, Inc.",TRK Fusion Cancers
Daurismo,(glasdegib)  Tablets,"November 21, 2018",Pfizer Inc.,Acute Myeloid Leukemia
Gamifant,(emapalumab-lzsg)  Injection,"November 20, 2018",Novimmune SA,Hemophagocytic Lymphohistiocytosis
Aemcolo,(rifamycin)  Delayed-Release Tablets,"November 16, 2018","Cosmo Technologies, Ltd.",Traveler's Diarrhea
Yupelri,(revefenacin)  Inhalation Solution,"November 9, 2018","Theravance Biopharma, Inc.",COPD
Primatene Mist,(epinephrine)  Inhalation Aerosol,"November 8, 2018","Amphastar Pharmaceuticals, Inc.",Asthma
Bryhali,(halobetasol propionate)  Lotion  - formerly Jemdel,"November 6, 2018",Ortho Dermatologics,Plaque Psoriasis
Udenyca,(pegfilgrastim-cbqv)  Injection,"November 2, 2018","Coherus BioSciences, Inc.","Neutropenia Associated with Chemotherapy, Neutropenia Associated with Radiation"
Lorbrena,(lorlatinib)  Tablets,"November 2, 2018",Pfizer Inc.,Non-Small Cell Lung Cancer
Dsuvia,(sufentanil)  Sublingual Tablets,"November 2, 2018","AcelRx Pharmaceuticals, Inc.",Pain
Sympazan,(clobazam)  Oral Film,"November 1, 2018","Aquestive Therapeutics, Inc.",Lennox-Gastaut Syndrome
Hyrimoz,(adalimumab-adaz)  Injection,"October 30, 2018",Sandoz Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Bijuva,(estradiol and progesterone)  Capsules  - formerly TX-001HR,"October 28, 2018","TherapeuticsMD, Inc.",Menopausal Vasomotor Symptoms
Xofluza,(baloxavir marboxil)  Tablets and Granules for Oral Suspension,"October 24, 2018","Genentech, Inc.","Influenza, Influenza Prophylaxis"
Khapzory,(levoleucovorin)  for Injection,"October 19, 2018","Spectrum Pharmaceuticals, Inc.","Methotrexate Rescue, Folic Acid Antagonist Overdose, Colorectal Cancer"
Talzenna,(talazoparib)  Capsules,"October 16, 2018",Pfizer Inc.,"Breast Cancer, Prostate Cancer"
Yutiq,(fluocinolone acetonide)  Intravitreal Implant,"October 12, 2018","EyePoint Pharmaceuticals, Inc.",Non-Infectious Posterior Segment Uveitis
Tegsedi,(inotersen)  Injection,"October 5, 2018","Ionis Pharmaceuticals, Inc.",Transthyretin-Related Amyloidosis
Revcovi,(elapegademase-lvlr)  Injection,"October 5, 2018","Leadiant Biosciences, Inc.","Adenosine Deaminase Severe Combined Immune
Deficiency (ADA-SCID)"
Nuzyra,(omadacycline)  Tablets and Lyophilized Powder for Injection,"October 2, 2018","Paratek Pharmaceuticals, Inc.","Skin and Structure Infection, Pneumonia"
Seysara,(sarecycline)  Tablets,"October 1, 2018","Almirall, S.A.",Acne
Xyosted,(testosterone enanthate)  Subcutaneous Injection,"September 28, 2018","Antares Pharma, Inc.","Hypogonadism, Male"
Arikayce,(amikacin liposome)  Inhalation Suspension,"September 28, 2018","Insmed, Inc.",Mycobacterium Avium Complex (MAC) Lung Disease
Libtayo,(cemiplimab-rwlc)  Injection,"September 28, 2018",Sanofi,"Squamous Cell Carcinoma, Basal Cell Carcinoma, Non-Small Cell Lung Cancer"
Vizimpro,(dacomitinib)  Tablets,"September 27, 2018",Pfizer Inc.,Non-Small Cell Lung Cancer
Emgality,(galcanezumab-gnlm)  Injection,"September 27, 2018",Eli Lilly and Company,"Migraine Prevention, Cluster Headaches"
Copiktra,(duvelisib)  Capsules,"September 24, 2018","Secura Bio, Inc.",Chronic Lymphocytic Leukemia
Ajovy,(fremanezumab-vfrm)  Injection,"September 14, 2018",Teva Pharmaceutical Industries Ltd.,Migraine Prevention
Xelpros,(latanoprost)  Ophthalmic Emulsion,"September 12, 2018",Sun Pharmaceutical Industries Ltd.,"Glaucoma, Open Angle, Intraocular Hypertension"
Lumoxiti,(moxetumomab pasudotox-tdfk)  Injection,"September 13, 2018",AstraZeneca and MedImmune,Hairy Cell Leukemia
Cassipa,(buprenorphine and naloxone)  Sublingual Film,"September 7, 2018",Teva Pharmaceuticals USA Inc.,Opiate Dependence - Maintenance
Tiglutik,(riluzole)  Oral Suspension,"September 5, 2018",ITF Pharma,Amyotrophic Lateral Sclerosis
Delstrigo,"(doravirine, lamivudine and tenofovir disoproxil fumarate)  Tablets","August 30, 2018",Merck,HIV Infection
Pifeltro,(doravirine)  Tablets,"August 30, 2018",Merck,HIV Infection
Jivi,(antihemophilic factor [recombinant] PEGylated-aucl)  Injection,"August 30, 2018",Bayer HealthCare LLC,Hemophilia A
Xerava,(eravacycline)  Injection,"August 27, 2018","Tetraphase Pharmaceuticals, Inc.",Complicated Intra-Abdominal Infections
Altreno,(tretinoin)  Lotion,"August 23, 2018",Ortho Dermatologics,Acne
Takhzyro,(lanadelumab-flyo)  Injection,"August 23, 2018",Shire plc,Hereditary Angioedema
Inveltys,(loteprednol etabonate)  Ophthalmic Suspension,"August 22, 2018","Kala Pharmaceuticals, Inc.",Postoperative Ocular Inflammation
Oxervate,(cenegermin-bkbj)  Ophthalmic Solution,"August 22, 2018",Dompé farmaceutici SpA,Neurotrophic Keratitis
Diacomit,(stiripentol)  Capsules and Powder for Oral Suspension,"August 20, 2018",Biocodex,Dravet Syndrome
Cequa,(cyclosporine)  Ophthalmic Solution,"August 14, 2018",Sun Pharmaceutical Industries Ltd.,Dry Eye Disease
Galafold,(migalastat)  Capsules,"August 10, 2018",Amicus Therapeutics,Fabry Disease
Annovera,(ethinyl estradiol and segesterone acetate)  Vaginal System,"August 10, 2018",The Population Council,Birth Control
Onpattro,(patisiran)  Injection,"August 10, 2018","Alnylam Pharmaceuticals, Inc.",Hereditary Transthyretin-Mediated Amyloidosis (hATTR)
Jornay PM,(methylphenidate hydrochloride)  Extended-Release Capsules,"August 8, 2018","Ironshore Pharmaceuticals & Development, Inc.",Attention Deficit Hyperactivity Disorder (ADHD)
Arakoda,(tafenoquine)  Tablets,"August 8, 2018",60 Degrees Pharmaceuticals,Malaria Prevention
Poteligeo ,Poteligeo (mogamulizumab-kpkc)  Injection,"August 8, 2018","Kyowa Hakko Kirin Co., Ltd.",Mycosis Fungoides; Sézary Syndrome
Mulpleta,(lusutrombopag)  Tablets,"July 31, 2018",Shionogi Inc.,Thrombocytopenia
Azedra,(iobenguane I 131)  Injection,"July 30, 2018",Progenics Pharmaceuticals Inc.,Pheochromocytoma; Paraganglioma
Perseris,(risperidone)  for Extended-Release Injectable Suspension,"July 27, 2018",Indivior PLC,Schizophrenia
Orilissa,(elagolix)  Tablets,"July 23, 2018","AbbVie, Inc.",Endometriosis
Krintafel,(tafenoquine)  Tablets,"July 20, 2018",GlaxoSmithKline,Malaria
Nivestym,(filgrastim-aafi)  Injection,"July 20, 2018",Pfizer Inc.,"Neutropenia Associated with Chemotherapy, Febrile Neutropenia"
Tibsovo,(ivosidenib)  Tablets,"July 20, 2018",Servier Pharmaceuticals,"Acute Myeloid Leukemia, Cholangiocarcinoma"
Symtuza,"(cobicistat, darunavir, emtricitabine and tenofovir alafenamide)  Tablets","July 17, 2018","Janssen Pharmaceuticals, Inc.",HIV Infection
TPOXX,(tecovirimat)  Capsules and Injection,"July 13, 2018","SIGA Technologies, Inc.",Smallpox
Qbrexza,(glycopyrronium)  Cloth for Topical Use,"June 28, 2018","Dermira, Inc.",Hyperhidrosis
Mektovi,(binimetinib)  Tablets,"June 27, 2018",Array BioPharma Inc.,"Melanoma, Metastatic, Non-Small Cell Lung Cancer"
Braftovi,(encorafenib)  Capsules,"June 27, 2018","Pfizer, Inc.","Melanoma, Metastatic, Colorectal Cancer, Non-Small Cell Lung Cancer"
Zemdri ,Zemdri (plazomicin)  Injection,"June 25, 2018","Achaogen, Inc.",Urinary Tract Infection
Epidiolex,(cannabidiol)  Oral Solution,"June 25, 2018",GW Pharmaceuticals plc,"Seizures associated with Lennox-Gastaut Syndrome, Dravet syndrome, or Tuberous Sclerosis Complex"
Nocdurna,(desmopressin acetate)  Sublingual Tablets,"June 21, 2018",Ferring Pharmaceuticals Inc.,Nocturia
,(moxidectin)  Tablets,"June 13, 2018",Medicines Development for Global Health,"Onchocerciasis, River Blindness"
Fulphila,(pegfilgrastim-jmdb)  Injection,"June 4, 2018",Mylan N.V.,Neutropenia Associated with Chemotherapy
Olumiant,(baricitinib)  Tablets,"May 31, 2018",Eli Lilly and Company and Incyte Corporation,"Rheumatoid Arthritis, COVID-19, Alopecia"
Consensi,(amlodipine and celecoxib)  Tablets,"May 31, 2018",Purple Biotech Ltd.,"High Blood Pressure, Osteoarthritis"
Imvexxy ,Imvexxy (estradiol)  Vaginal Inserts  - formerly TX-004HR,"May 29, 2018","TherapeuticsMD, Inc.",Dyspareunia
Palynziq,(pegvaliase-pqpz)  Injection,"May 24, 2018",BioMarin Pharmaceutical Inc.,Phenylketonuria
Yonsa,(abiraterone acetate)  Tablets,"May 22, 2018",Sun Pharmaceutical Industries Ltd.,Prostate Cancer
Doptelet,(avatrombopag)  Tablets,"May 21, 2018","Dova Pharmaceuticals, Inc.","Thrombocytopenia, Immune Thrombocytopenia"
Lokelma ,Lokelma (sodium zirconium cyclosilicate)  for Oral Suspension,"May 18, 2018",AstraZeneca,Hyperkalemia
Aimovig,(erenumab-aooe)  Injection,"May 17, 2018",Amgen Inc.,Migraine Prevention
Lucemyra,(lofexidine hydrochloride)  Tablets,"May 16, 2018",US WorldMeds,Opiate Withdrawal
Retacrit,(epoetin alfa-epbx)  for Injection,"May 15, 2018",Hospira Inc.,Anemia
Plenvu,(polyethylene glycol 3350 with electrolytes)  for Oral Solution,"May 4, 2018","Salix Pharmaceuticals, Inc.",Bowel Preparation
Andexxa,"(coagulation factor Xa (recombinant), inactivated-zhzo)","May 3, 2018","Portola Pharmaceuticals, Inc.",Reversal of Anticoagulant Activity of Factor Xa Inhibitors
Jynarque,(tolvaptan)  Tablets,"April 23, 2018","Otsuka Pharmaceutical Co., Ltd.",Adults at Risk of Rapidly Progressing Autosomal Dominant Polycystic Kidney Disease
Akynzeo for Injection ,Akynzeo for Injection (fosnetupitant and palonosetron),"April 19, 2018",Helsinn,"Nausea/Vomiting, Chemotherapy Induced"
Crysvita,(burosumab-twza)  Injection,"April 17, 2018",Ultragenyx Pharmaceutical Inc.,X-Linked Hypophosphatemia; Tumor-Induced Osteomalacia
Tavalisse,(fostamatinib)  Tablets,"April 17, 2018","Rigel Pharmaceuticals, Inc.",Immune Thrombocytopenia
Symfi,"(efavirenz, lamivudine and tenofovir disoproxil fumarate)  Tablets","March 22, 2018",Mylan N.V.,HIV Infection
Ilumya,(tildrakizumab-asmn)  Injection,"March 20, 2018",Sun Pharmaceutical Industries Ltd.,Plaque Psoriasis
Trogarzo,(ibalizumab-uiyk)  Injection,"March 6, 2018",TaiMed Biologics USA Corp.,HIV Infection
Cimduo,(lamivudine and tenofovir disoproxil fumarate)  Tablets,"February 28, 2018",Mylan N.V.,HIV Infection
Symfi Lo,"(efavirenz, lamivudine and tenofovir disoproxil fumarate)  Tablets","February 5, 2018",Mylan N.V.,HIV Infection
ZTlido,(lidocaine)  Patch  - formerly Ztilido,"February 28, 2018","Scilex Pharmaceuticals, Inc.",Postherpetic Neuralgia
Apadaz,(acetaminophen and benzhydrocodone hydrochloride)  Tablets  - formerly KP201,"February 23, 2018","KemPharm, Inc.",Pain
Osmolex ER,(amantadine hydrochloride)  Extended-Release Tablets,"February 20, 2018",Osmotica Pharmaceutical US LLC,"Parkinson's Disease, Extrapyramidal Reaction"
Erleada,(apalutamide)  Tablets,"February 14, 2018","Janssen Pharmaceuticals, Inc.",Prostate Cancer
Symdeko,(ivacaftor/tezacaftor and ivacaftor)  Tablets,"February 12, 2018",Vertex Pharmaceuticals Incorporated,Cystic Fibrosis
Dexycu,(dexamethasone)  Intraocular Suspension,"February 9, 2018","EyePoint Pharmaceuticals, Inc.",Postoperative Ocular Inflammation
Biktarvy,"(bictegravir, emtricitabine and tenofovir alafenamide)  Tablets","February 7, 2018","Gilead Sciences, Inc.",HIV Infection
Firvanq,(vancomycin hydrochloride)  for Oral Solution,"January 26, 2018",CutisPharma,Clostridium Difficile Associated Diarrhea; Enterocolitis
